card__link,btn href,,
Rocky Mountain Brewery,http://www.therockymountainbrewery.com/,,
503W,http://www.503w.co/,,
Colorado Craft Tours,http://www.coloradocrafttours.com/,,
Flatirons American Bar & Grill,http://www.flatirons.biz/,,
Springs Orleans,http://www.springsorleans.com/,,
Bristol Brewing Company,http://www.bristolbrewing.com/,,
Cockpit Craft Distillery,http://www.cockpitdistillery.com/,,
Colorado Mountain Brewery - Interquest,http://www.cmbrew.com/,,
Loyal Coffee,http://www.loyalcoffee.co/,,
Peaks N Pines Brewing Co,http://www.peaksnpinesbrewery.com/home.html,,
The Bench,,,
Colorado Gold Distillery,http://www.coloradohighvodka.com/,,
Colorado Mountain Brewery - Roundhouse,http://www.cmbrew.com/,,
Tap Traders,http://www.taptraders.com/,,
Fossil Craft Beer Company,http://fossilcraftbeer.com/,,
Ivywild School,http://www.ivywildschool.com/,,
Red Leg Brewing Company,http://www.redlegbrewing.com/,,
Springs Beer Tours,http://www.springsbeertours.com/,,
Jack Quinns Irish Pub & Restaurant,http://www.jackquinnspub.com/,,
Dueces Wild Brewery,http://www.dwbbrewery.com/,,
Metric Brewing,https://www.metricbrews.com/,,
Phantom Canyon Brewing Company,http://www.phantomcanyon.com/,,
Patty Jewett Clubhouse,http://www.pattyjewettclubhouse.com/,,
Axe and the Oak Distillery and Whiskey House,http://www.axeandtheoak.com/,,
3 Hundred Days of Shine Distilling,http://www.3hundreddays.com/,,
Pikes Peak Brewing Company,http://www.pikespeakbrewing.com/,,
Goat Patch Brewing,http://www.goatpatchbrewing.com/,,
Pub Dog,http://www.pubdogcolorado.com/,,
3 Margaritas,http://3margaritascosprings.com/,,
Sopra Anitpasto & Wine Bar,http://sopracos.com/,,
Jose Muldoons Food & Drink East (Powers Blvd),http://www.josemuldoons.com/,,
Streetcar520,http://www.streetcar520.com/,,
Oskar Blues,http://www.oskarbluesfooderies.com/,,
T-Byrds Tacos and Tequila,http://www.tbyrdstacos.com/index.html,,
Jose Muldoons Food & Drink Downtown,http://www.josemuldoons.com/,,
Thunder and Buttons II Restaurant/Tavern,http://www.thunderandbuttons.com/,,
719 Gastropub,http://www.719gastropub.com/,,
Trails End Taproom,http://trailsendtaproom.com/,,
2 South Food and Wine Bar,,2 South Food and Wine Bar in Colorado Springs happy hours are Tue-Sat from 4pm o 5:30pm.,
BooDadâ€™s Beach House Grill,,BooDad's has more specials then they know what to do with. Happy hour is weekdays 3pm to 6pm. Come in and see what else we have to offer...,
Bristol Brewing Company,,Bristol Brewing Company using all natural ingredients. Open daily ill 10 pm. Nightly happy hours. Come and enjoy.,
Dublin House,,Dublin House is a legit grab-a-drink-and-have-fun place with your buddies. Drink specials and happy hours Every Day!,
Georgeâ€™s Union Station,,"Live music and shows at the George's Union Station in Colorado Springs, CO. Long Happy hours everyday.",
Jack Quinn Irish Ale House & Pub,,Jack Quinn's Irish Pub & Restaurant in Colorado Springs a truly authentic Irish public house. Offering a ...,
McCabeâ€™s Tavern,,"McCabe's Tavern is your neighborhood Irish pub in Colorado Springs. live music, trivia nights, steal tip darts, foosball, Jukebox and Eu...",
Motif,,Motif a jazz bar great for a romantic night. Daily specials including Thursday night wine tour.,
Phantom Canyon Brewing Company,,Phantom Canyon Brewing company has a daily happy hour starting at 3 pm daily. Come join us for a great night.,
Ritz Grill,,Live DJ or band every Friday and Saturday night starting at 9:30. $6.99 lunch specials every Monday and Wednesday from 11:30-4:30.,
3.14 Pi Bar,,,
Bonny and Read,,,
Springs Orleans,,,
Rabbit Hole,,,
Frankies,,,
Bonefish Grill,,,
Phantom Canyon Brewing Company,,,pet
Pizzeria Rustica,,,pet
Bon Ton's Cafe,,,pet
Pub Dog,,,pet
R and R Coffee Cafe,,,pet
Rudy's Little Hideaway,,,pet
Culvers,,,pet
Rudy's,,,pet
Trinity Brewing,,,pet
Shuga's,,,pet
Rocky Mountain Brewery,,,pet
The Burrowing Owl,,,pet
Bristol Brewing Company,,,pet
3.14 Sweet and Savory Pi Bar,,,pet
Chipotle Mexican Grill,,,pet
California Pizza Kitchen,,,pet
Mountain Shadows Restaurant,,,pet
Storybook Brewing,,,pet
Chipotle Mexican Grill,,,pet
Trapper's Rendezvous,,,pet
The Airplane Restaurant,,,pet
Chipotle Mexican Grill,,,pet
Sonic Drive-In,,,pet
Sonic Drive-In,,,pet
Sonic Drive-In,,,pet
Edelweiss Restaurant,,,pet
Jack Quinn Irish Alehouse and Pub,,,pet
Iron Bird Brewing,,,pet
TAPAteria,,,pet
